iGalID,iGrID,Name,RAJ2000,DEJ2000,z,logMstar
25395,18477,"    03005158+0048268",45.21490097,0.80742002,0.0429419,
38371,27836,"    03050903+0105365",46.28755951,1.09347999,0.0225506,10.16321
29353,21330,"    02562713+0052326",44.11307907,0.87575001,0.0222193,10.52464
41485,30069,"    03034533+0143402",45.93886948,1.72785997,0.0276717,
13684,9966,"    03033932+0156522",45.9138298,1.94786,0.0170159,
31823,19202,"    03055058+0208205",46.46083069,2.13897991,0.0279667,
4113,2955,"    03082795+0206308",47.11653137,2.1085701,0.0199384,
29688,21579,"    03093552+0217300",47.39797974,2.29171991,0.0416489,
31686,23010,"    03072806+0231503",46.86687851,2.53060007,0.0379606,
35891,9966,"    03023369+0211404",45.64043045,2.19453001,0.0165903,
26407,19202,"    03051989+0222485",46.33292007,2.38017988,0.0288442,
21161,15390,"    02562387+0158476",44.09944916,1.97985005,0.0296463,
5634,910,"    02571077+0246302",44.29491043,2.77506995,0.0099488,
38168,27698,"    02535242+0217265",43.46847153,2.29066992,0.0217509,
4390,3162,"    02540274+0257436",43.51139069,2.96210003,0.0094478,
5692,910,"    02595060+0246168",44.96081924,2.77135992,0.0088301,
31391,22797,"    02595005+0304588",44.95851898,3.08300996,0.0195675,
33261,10552,"    02595945+0322468",44.99769974,3.37972999,0.0661145,
23626,17183,"    03024884+0351494",45.70354843,3.86381006,0.0697535,
1333,910,"    02581028+0321429",44.54293823,3.36193991,0.0097452,
11699,910,"    02584143+0326056",44.67258072,3.43488002,0.009674,
14529,10552,"    02594896+0334138",44.9539299,3.57051992,0.0658865,
10719,910,"    02582210+0351459",44.59201813,3.86276007,0.0095016,
26665,19385,"    03001237+0426175",45.05154037,4.43821001,0.0235212,
21966,4716,"    03125469+0245501",48.22784042,2.76400995,0.037164,
28177,20491,"    03144476+0311142",48.68648911,3.18730998,0.0364943,
8615,6268,"    03074931+0308525",46.95542145,3.1479001,0.0231677,
17476,914,"    03083393+0354208",47.1414299,3.90576005,0.029512,
1339,914,"    03082624+0406388",47.10932922,4.11082983,0.0280103,
30167,9792,"    03103162+0416184",47.63180161,4.27171993,0.0225339,
13455,9792,"    03102955+0421564",47.62310028,4.36576986,0.022957,
