iGrID,RAJ2000,DEJ2000,z,logLtot,logLobs,logMtot,logMstar,NMstar,logMdyn,sigma,Rad,angRad,DL,Ntot
18477,45.21490097,0.80742002,0.0429419,11.93986,11.36549,12.84647,,0,,,,,182.8018,1
27836,46.28755951,1.09347999,0.0225506,10.75016,10.61358,11.92147,10.16321,1,,,,,94.396,1
21330,44.11307907,0.87575001,0.0222193,10.96316,10.83067,12.09324,10.52464,1,,,,,92.9841,1
30069,45.93886948,1.72785997,0.0276717,11.05456,10.83963,12.13978,,0,,,,,116.3213,1
9966,45.9138298,1.94786,0.0168031,10.98864,10.91499,12.51374,,0,10.5563,154.0674,217.5087,0.184049,70.0066,2
2955,47.11653137,2.1085701,0.0199384,11.31295,11.20851,12.40082,,0,,,,,83.2828,1
21579,47.39797974,2.29171991,0.0416489,11.76365,11.22507,12.69162,,0,,,,,177.1078,1
23010,46.86687851,2.53060007,0.0379606,11.5822,11.14287,12.54549,,0,,,,,160.9317,1
19202,46.33292007,2.38017988,0.0284055,11.43018,11.20185,12.9046,,0,11.2809,318.9676,269.1059,0.136485,119.4779,2
15390,44.09944916,1.97985005,0.0296463,11.28182,11.03208,12.32257,,0,,,,,124.8247,1
27698,43.46847153,2.29066992,0.0217509,10.69463,10.56822,11.88286,,0,,,,,90.9889,1
3162,43.51139069,2.96210003,0.0094478,10.55503,10.52368,11.82972,,0,,,,,39.1263,1
22797,44.95851898,3.08300996,0.0195675,10.66515,10.56455,11.87183,,0,,,,,81.7085,1
17183,45.70354843,3.86381006,0.0697535,13.42089,11.9507,14.04477,,0,,,,,303.6539,1
910,44.54293823,3.36193991,0.009674,11.25959,11.2265,12.99178,,0,10.6896,142.5611,345.2221,0.50321,40.0704,5
10552,44.9539299,3.57051992,0.0660005,13.45192,12.12169,14.42055,,0,10.2093,73.4419,430.5057,0.097864,286.4128,2
19385,45.05154037,4.43821001,0.0235212,10.90693,10.75683,12.04062,,0,,,,,98.5376,1
20491,48.68648911,3.18730998,0.0364943,11.73006,11.32785,12.68614,,0,,,,,154.5281,1
6268,46.95542145,3.1479001,0.0231677,11.23958,11.09402,12.32033,,0,,,,,97.0285,1
914,47.10932922,4.11082983,0.0287611,12.13853,11.90417,13.59126,,0,11.6363,547.4472,207.0955,0.103777,121.0093,2
9792,47.62310028,4.36576986,0.0227454,11.30688,11.16768,12.73709,,0,10.0833,152.155,75.0362,0.047225,95.2269,2
14933,49.25951004,3.64941001,0.0023738,8.86509,8.86495,10.92303,,0,,,,,9.7741,1
29679,49.89653015,4.76217985,0.0430884,11.73544,11.15701,12.65919,,0,,,,,183.4476,1
10701,48.74304962,4.90783024,0.0367781,11.76934,11.36012,12.72042,,0,,,,,155.7663,1
2783,48.21363068,4.70703983,0.0190722,11.36051,11.26557,12.44679,11.12152,1,,,,,79.6081,1
21817,48.86383057,5.53299999,0.0309635,11.24638,10.97101,12.28514,,0,,,,,130.512,1
26972,49.40332031,5.63566017,0.036345,11.48947,11.09095,12.47067,,0,,,,,153.8771,1
6190,46.83082962,4.46877003,0.0273746,11.72526,11.51554,13.12477,,0,10.5165,225.1889,92.8896,0.048829,115.0444,3
8496,47.53878021,4.84796,0.019103,10.93351,10.83822,12.08542,,0,,,,,79.7387,1
6156,45.76601028,4.39289999,0.0230904,11.23265,11.08819,12.31479,,0,,,,,96.6986,1
11275,45.85054016,4.4917798,0.0194135,10.85943,10.76083,12.02412,,0,,,,,81.0556,1
2853,46.4798584,4.85810995,0.0280867,11.8196,11.59699,13.07142,,0,9.0371,32.0,152.5309,0.078211,118.1061,2
25205,47.94221878,5.29812002,0.0374231,11.57953,11.15355,12.54574,,0,,,,,158.5824,1
14068,48.59886169,5.5229001,0.0226856,10.96688,10.82835,12.0938,,0,,,,,94.9719,1
15112,48.20544052,5.70091009,0.0364466,11.82108,11.4201,12.76921,,0,,,,,154.32,1
14405,49.18748856,6.00559998,0.0227222,10.98242,10.84346,12.10635,,0,,,,,95.1277,1
9525,47.00411987,5.96654987,0.0222225,11.06995,10.93742,12.18151,,0,,,,,92.9976,1
29078,47.97467041,6.33808994,0.0638878,12.79071,11.53577,13.5319,,0,,,,,276.7545,1
2700,42.24515152,3.16867995,0.0131938,10.88686,10.83676,12.07549,,0,,,,,54.8074,1
29956,42.74782944,3.52354002,0.0376296,11.45616,11.02525,12.43478,,0,,,,,159.4849,1
18897,42.54225159,3.83000994,0.0194404,10.6949,10.59599,11.89518,,0,,,,,81.1697,1
3209,41.60546875,3.60718012,0.0219094,11.434,11.30561,12.49652,,0,,,,,91.6639,1
2833,42.06172943,4.57808018,0.022929,11.49254,11.35026,12.54298,,0,,,,,96.0098,1
